Entity,Year,GDP per capita,State involved in war - Conflict type: all,Geo_Code,Geo_Type,Sex,Mortality_Rate
Afghanistan,1957,1253.0,0,4,COUNTRY,TOTAL,372.457578642
Afghanistan,1958,1298.0,0,4,COUNTRY,TOTAL,366.266230695
Afghanistan,1959,1307.0,0,4,COUNTRY,TOTAL,360.434812953
Afghanistan,1960,1326.0,0,4,COUNTRY,TOTAL,354.598496979
Afghanistan,1961,1309.0,0,4,COUNTRY,TOTAL,348.94880368
Afghanistan,1962,1302.0,0,4,COUNTRY,TOTAL,343.696367321
Afghanistan,1962,1302.0,0,4,COUNTRY,FEMALE,335.580234499
Afghanistan,1962,1302.0,0,4,COUNTRY,MALE,351.610072572
Afghanistan,1963,1298.0,0,4,COUNTRY,TOTAL,338.366067404
Afghanistan,1963,1298.0,0,4,COUNTRY,FEMALE,330.283950719
Afghanistan,1963,1298.0,0,4,COUNTRY,MALE,346.068192409
Afghanistan,1964,1291.0,0,4,COUNTRY,TOTAL,333.105062879
Afghanistan,1964,1291.0,0,4,COUNTRY,MALE,340.533267725
Afghanistan,1964,1291.0,0,4,COUNTRY,FEMALE,325.287372999
Afghanistan,1965,1290.0,0,4,COUNTRY,TOTAL,327.713129499
Afghanistan,1965,1290.0,0,4,COUNTRY,MALE,335.048804944
Afghanistan,1965,1290.0,0,4,COUNTRY,FEMALE,320.304306436
Afghanistan,1966,1272.0,0,4,COUNTRY,MALE,329.723016102
Afghanistan,1966,1272.0,0,4,COUNTRY,FEMALE,315.316478538
Afghanistan,1966,1272.0,0,4,COUNTRY,TOTAL,322.658426398
Afghanistan,1967,1277.0,0,4,COUNTRY,FEMALE,310.313087622
Afghanistan,1967,1277.0,0,4,COUNTRY,TOTAL,317.52060527
Afghanistan,1967,1277.0,0,4,COUNTRY,MALE,324.350596904
Afghanistan,1968,1290.0,0,4,COUNTRY,FEMALE,305.369550989
Afghanistan,1968,1290.0,0,4,COUNTRY,TOTAL,312.38414275
Afghanistan,1968,1290.0,0,4,COUNTRY,MALE,319.095782152
Afghanistan,1969,1278.0,0,4,COUNTRY,MALE,313.804762646
Afghanistan,1969,1278.0,0,4,COUNTRY,TOTAL,307.127969288
Afghanistan,1969,1278.0,0,4,COUNTRY,FEMALE,300.242443901
Afghanistan,1970,1272.0,0,4,COUNTRY,FEMALE,295.268098194
Afghanistan,1970,1272.0,0,4,COUNTRY,TOTAL,301.969431211
